region,id,country,instock,outstock,year,group
Americas,HTI,Haiti,1209.37,2,2014,1
Africa,COM,Comoros,120.94,,2014,1
Asia,NPL,Nepal,541,,2014,1
Africa,BFA,Burkina Faso,1679.35,275.54,2014,1
Africa,RWA,Rwanda,1105.35,12.94,2014,1
Africa,SLE,Sierra Leone,1365.4,,2014,1
Asia,AFG,Afghanistan,1691.7,,2014,1
Africa,UGA,Uganda,9917.48,50.23,2014,1
Africa,MLI,Mali,3109.38,44.67,2014,1
Africa,MOZ,Mozambique,25576.58,10.2,2014,1
Africa,TGO,Togo,1684.8,1842.86,2014,1
Africa,ETH,Ethiopia,7264.3,,2014,1
Africa,GNB,Guinea-Bissau,122.54,5.1,2014,1
Africa,ERI,Eritrea,837.15,,2014,1
Africa,GIN,Guinea,2584.1,68.2,2014,1
Africa,GMB,"Gambia, The",339.84,,2014,1
Africa,MDG,Madagascar,6277.26,6.39,2014,1
Africa,NER,Niger,5132.54,129.76,2014,1
Africa,COD,Democratic Republic of the Congo,,,2014,1
Africa,LBR,Liberia,6569.5,4344.9,2014,1
Africa,CAF,Central African Republic,622.89,43,2014,1
Africa,BDI,Burundi,47.83,1.3,2014,1
Africa,MWI,Malawi,1238.79,24.08,2014,1
Oceania,COK,Cook Islands,835.61,5037.27,2014,
Asia,PRK,North Korea,2012.23,,2014,
Americas,FLK,Falkland Islands (Islas Malvinas),75.21,,2014,
Europe,FRO,Faroe Islands,,,2014,
Americas,GUF,French Guiana,,,2014,
Europe,GIB,Gibraltar,2569.12,,2014,
Americas,GLP,Guadeloupe,,,2014,
Americas,MTQ,Martinique,,,2014,
Americas,MSR,Montserrat,140.13,1.36,2014,
Oceania,NRU,Nauru,,22.4,2014,
Oceania,NIU,Niue,,21.82,2014,
Africa,REU,Reunion,,,2014,
Africa,SHN,Saint Helena,,,2014,
Americas,SPM,Saint Pierre and Miquelon,,,2014,
Asia,PSE,State of Palestine,2453,167,2014,
Americas,VGB,"Virgin Islands, British",511366.72,584235.03,2014,
Americas,VIR,"Virgin Islands, U.S.",,,2014,
Africa,ESH,Western Sahara,,,2014,
Oceania,ASM,American Samoa,,,2014,
Americas,ABW,Aruba,3940.75,698,2014,
Americas,CYM,Cayman Islands,187094.2,136699.87,2014,
Africa,DJI,Djibouti,1505.48,,2014,
Oceania,PYF,French Polynesia,908.04,327.26,2014,
Americas,GRL,Greenland,,,2014,
Oceania,GUM,Guam,,,2014,
Oceania,NCL,New Caledonia,15050.72,581.61,2014,
Africa,SOM,Somalia,988.1,,2014,
Americas,TCA,Turks and Caicos Islands,,,2014,
